RecordLocator,RecordId,Name,Description,BookingDate,Reason,APIError
OVMMOZ,N/A,Passenger Record 171,Record from 9/29/2025, 5:10:23.701 PM,2025-09-27T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
HEKQVR,N/A,Passenger Record 175,Record from 9/29/2025, 5:17:08.225 PM,2025-09-24T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
FRIHHS,N/A,Passenger Record 178,Record from 9/29/2025, 6:24:03.772 PM,2025-09-26T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
MYTBDQ,N/A,Passenger Record 194,Record from 9/24/2025, 6:06:09.583 AM,2025-09-19T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
KGCOSM,N/A,Passenger Record 196,Record from 9/24/2025, 3:40:06.489 AM,2025-09-22T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
KGCOSM,N/A,Passenger Record 197,Record from 9/24/2025, 3:40:06.514 AM,2025-09-22T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
FHVEYT,N/A,Passenger Record 201,Record from 9/30/2025, 9:29:04.845 PM,2025-09-26T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
FHVEYT,N/A,Passenger Record 202,Record from 9/30/2025, 9:29:06.747 PM,2025-09-26T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
SXTVPQ,N/A,Passenger Record 204,Record from 9/30/2025, 9:33:07.892 PM,2025-09-25T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
UDFNPV,N/A,Passenger Record 205,Record from 9/30/2025, 9:29:08.420 PM,2025-09-29T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
DOKTIK,N/A,Passenger Record 206,Record from 9/30/2025, 6:15:16.850 PM,2025-09-25T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
NAJNNX,N/A,Passenger Record 211,Record from 9/30/2025, 4:50:12.444 PM,2025-09-29T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
NAJNNX,N/A,Passenger Record 212,Record from 9/30/2025, 4:50:16.311 PM,2025-09-29T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
NAJNNX,N/A,Passenger Record 213,Record from 9/30/2025, 4:50:15.285 PM,2025-09-29T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
IXQYEP,N/A,Passenger Record 215,Record from 9/30/2025, 5:02:07.921 PM,2025-09-26T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
