SourceFile,RecordLocator,RecordId,TicketNumber,BookingDate,ProcessingStage,FailureCategory,FailureReason,TechnicalDetails,CanRetry,RequiredAction,Timestamp,OriginalName,OriginalDescription
September,EQXIII,N/A,0272115701041,2025-08-27T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 28,"Record from 10/1/2025, 7:46:09.675 AM"
September,ORBAUI,N/A,1732315119891,2025-08-21T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 30,"Record from 9/30/2025, 5:26:32.616 PM"
September,LYXVYT,N/A,0272113602067,2025-08-05T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 33,"Record from 9/30/2025, 5:26:54.664 PM"
September,LHWYFN,N/A,0272111645559,2025-07-16T16:31:27.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 35,"Record from 10/1/2025, 6:35:20.008 PM"
September,FELQZH,N/A,0272118518819,2025-09-26T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 37,"Record from 9/30/2025, 5:34:05.780 PM"
September,CFVZDA,N/A,0272117110073,2025-09-11T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 39,"Record from 9/30/2025, 7:43:28.012 AM"
September,FVYMNZ,N/A,0272117525315,2025-09-16T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 40,"Record from 9/30/2025, 4:31:05.702 PM"
September,CVXUAS,N/A,0272113240704,2025-08-01T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 41,"Record from 9/30/2025, 2:38:13.222 PM"
September,YCDOAU,N/A,0277373963908,2025-08-27T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 42,"Record from 9/30/2025, 4:42:46.304 PM"
September,GUAYPE,N/A,0272115575620,2025-08-26T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 43,"Record from 9/30/2025, 4:43:26.656 PM"
September,GKHAXB,N/A,1732315085202,2025-08-19T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 44,"Record from 9/30/2025, 4:42:46.533 PM"
September,UYXXSB,N/A,0272112051216,2025-07-20T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 45,"Record from 9/22/2025, 8:35:53.362 PM"
September,OGUNBH,N/A,0272114432238,2025-08-13T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 47,"Record from 9/23/2025, 7:13:22.645 AM"
September,DHWBHE,N/A,0272117965027,2025-09-21T15:36:13.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 48,"Record from 9/23/2025, 1:30:36.390 AM"
September,GFYZFP,N/A,0277279292241,2025-08-04T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 49,"Record from 9/30/2025, 2:58:12.363 PM"
September,FUJKZN,N/A,1737279324354,2025-08-12T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 51,"Record from 9/30/2025, 9:13:07.696 AM"
September,WYVJRK,N/A,1737335897752,2025-09-25T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 52,"Record from 9/30/2025, 7:20:36.901 AM"
September,WUAFFK,N/A,1732315500351,2025-09-14T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 53,"Record from 9/30/2025, 5:50:19.332 AM"
September,FWYPNV,N/A,0272117929703,2025-09-20T23:37:35.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 59,"Record from 9/30/2025, 4:16:18.145 AM"
September,APSGHY,N/A,0272111642440,2025-07-16T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 60,"Record from 9/30/2025, 2:43:08.041 PM"
September,IZPHDX,N/A,0272117295320,2025-09-14T10:03:53.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 65,"Record from 9/28/2025, 6:55:18.862 AM"
September,DHDVSK,N/A,0272115799073,2025-08-28T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 67,"Record from 9/22/2025, 8:07:18.291 PM"
September,UJTMEN,N/A,0272113344776,2025-08-02T20:17:50.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 68,"Record from 9/23/2025, 4:11:36.606 AM"
September,ABVCVY,N/A,0272108850515,2025-06-17T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 69,"Record from 9/20/2025, 7:02:03.461 PM"
September,GMRQTG,N/A,0272112619116,2025-07-26T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 70,"Record from 9/20/2025, 5:33:34.385 PM"
September,UPBGWH,N/A,0272117894877,2025-09-20T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 71,"Record from 9/21/2025, 2:04:56.915 AM"
September,GMWUUN,N/A,0272108401932,2025-06-12T14:22:45.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 72,"Record from 9/22/2025, 4:34:53.026 AM"
September,HAVKJZ,N/A,0272116962010,2025-09-10T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 73,"Record from 9/21/2025, 6:22:01.448 PM"
September,JMJJQB,N/A,0272111167679,2025-07-11T16:44:03.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 74,"Record from 9/25/2025, 4:11:27.718 AM"
September,FMCORD,N/A,0272117287601,2025-09-14T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 75,"Record from 9/24/2025, 7:37:01.956 AM"
September,FSBPYX,N/A,0272118034672,2025-09-22T12:52:27.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 76,"Record from 9/25/2025, 4:23:19.928 AM"
September,ITTSHC,N/A,0272103147948,2025-04-20T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 80,"Record from 9/17/2025, 2:16:12.390 AM"
September,UCJAKC,N/A,0272111238011,2025-07-12T15:08:24.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 81,"Record from 9/18/2025, 4:20:52.650 AM"
