RecordLocator,Name,Description,BookingDate,Reason
"JMJJQB","Passenger Record 74","Record from 9/25/2025, 4:11:27.718 AM","2025-07-11T16:44:03.0000000Z","Non-AFB Customer"
"FMCORD","Passenger Record 75","Record from 9/24/2025, 7:37:01.956 AM","2025-09-14T00:00:00.0000000Z","Non-AFB Customer"
"FSBPYX","Passenger Record 76","Record from 9/25/2025, 4:23:19.928 AM","2025-09-22T12:52:27.0000000Z","Non-AFB Customer"
"ITTSHC","Passenger Record 80","Record from 9/17/2025, 2:16:12.390 AM","2025-04-20T00:00:00.0000000Z","Non-AFB Customer"
"UCJAKC","Passenger Record 81","Record from 9/18/2025, 4:20:52.650 AM","2025-07-12T15:08:24.0000000Z","Non-AFB Customer"
"MWQSTX","Passenger Record 82","Record from 9/29/2025, 6:17:49.183 AM","2025-09-19T00:00:00.0000000Z","Non-AFB Customer"
"NEUQUV","Passenger Record 84","Record from 9/30/2025, 8:04:02.800 AM","2025-05-11T00:00:00.0000000Z","Non-AFB Customer"
"WRMGDP","Passenger Record 89","Record from 9/30/2025, 4:44:19.531 AM","2025-06-22T00:00:00.0000000Z","Non-AFB Customer"
"JLNDWH","Passenger Record 92","Record from 9/29/2025, 4:52:50.777 AM","2025-09-26T00:00:00.0000000Z","Non-AFB Customer"
"DUEEJU","Passenger Record 99","Record from 9/21/2025, 7:59:27.540 PM","2025-09-03T00:00:00.0000000Z","Non-AFB Customer"
"STNWVA","Passenger Record 119","Record from 10/1/2025, 5:59:27.224 PM","2025-03-17T11:38:45.0000000Z","Non-AFB Customer"
"GDASQB","Passenger Record 120","Record from 10/1/2025, 5:35:17.058 PM","2025-07-07T00:00:00.0000000Z","Non-AFB Customer"
"UAXIDF","Passenger Record 121","Record from 10/1/2025, 6:41:17.400 PM","2025-08-28T00:00:00.0000000Z","Non-AFB Customer"
"AWTZGV","Passenger Record 122","Record from 10/1/2025, 6:39:29.787 PM","2025-09-23T00:00:00.0000000Z","Non-AFB Customer"
"OWQOGQ","Passenger Record 123","Record from 10/1/2025, 6:41:29.169 PM","2025-09-28T00:00:00.0000000Z","Non-AFB Customer"
"OJYVNU","Passenger Record 124","Record from 9/25/2025, 7:36:03.413 AM","2025-08-29T00:00:00.0000000Z","Non-AFB Customer"
"MPXJAB","Passenger Record 128","Record from 9/25/2025, 1:00:39.104 AM","2025-09-15T00:00:00.0000000Z","Non-AFB Customer"
"GEAJVE","Passenger Record 129","Record from 9/22/2025, 12:34:33.454 AM","2025-04-14T00:00:00.0000000Z","Non-AFB Customer"
"NVOEXZ","Passenger Record 131","Record from 9/23/2025, 4:27:53.305 AM","2025-08-18T14:23:11.0000000Z","Non-AFB Customer"
